Testcase_ID,Natural_Language_Query,Target_Law,Target_Section,Section_Title
261,What does BNS Section 131 say?,BNS,131,Punishment for assault or criminal force otherwise than on grave provocation.
262,My friend was accused of punishment for assault or criminal force otherwise than on grave provocation. What are the consequences?,BNS,131,Punishment for assault or criminal force otherwise than on grave provocation.
263,My friend was accused of assault or criminal force to deter public servant from discharge of his duty. What are the consequences?,BNS,132,Assault or criminal force to deter public servant from discharge of his duty.
264,Someone did a assault or criminal force to deter public servant from discharge of his duty. What law applies?,BNS,132,Assault or criminal force to deter public servant from discharge of his duty.
265,"My friend was accused of assault or criminal force with intent to dishonour person, otherwise than on grave provocation. What are the consequences?",BNS,133,"Assault or criminal force with intent to dishonour person, otherwise than on grave provocation."
266,"My friend was accused of assault or criminal force with intent to dishonour person, otherwise than on grave provocation. What are the consequences?",BNS,133,"Assault or criminal force with intent to dishonour person, otherwise than on grave provocation."
267,A pickpocket took my wallet. Which section applies?,BNS,134,Assault or criminal force in attempt to commit theft of property carried by a person.
268,Someone stole my phone from my bag. What offence is this?,BNS,134,Assault or criminal force in attempt to commit theft of property carried by a person.
269,Can you explain the offence of assault or criminal force in attempt to wrongfully confine a person in BNS 2023?,BNS,135,Assault or criminal force in attempt to wrongfully confine a person.
270,Can you explain the offence of assault or criminal force in attempt to wrongfully confine a person in BNS 2023?,BNS,135,Assault or criminal force in attempt to wrongfully confine a person.
271,What does BNS Section 136 say?,BNS,136,Assault or criminal force on grave provocation.
272,Can you explain the offence of assault or criminal force on grave provocation in BNS 2023?,BNS,136,Assault or criminal force on grave provocation.
273,Tell me about BNS Section 137 regarding kidnapping.,BNS,137,Kidnapping.
274,Can you explain the offence of kidnapping in BNS 2023?,BNS,137,Kidnapping.
275,What is the section under BNS for abduction?,BNS,138,Abduction.
276,Someone did a abduction. What law applies?,BNS,138,Abduction.
277,Tell me about BNS Section 139 regarding kidnapping or maiming a child for purposes of begging.,BNS,139,Kidnapping or maiming a child for purposes of begging.
278,Can you explain the offence of kidnapping or maiming a child for purposes of begging in BNS 2023?,BNS,139,Kidnapping or maiming a child for purposes of begging.
279,BNS section for murder definition and punishment.,BNS,140,"Kidnapping or abducting in order to murder or for ransom, etc."
280,What is the penalty for committing murder under BNS?,BNS,140,"Kidnapping or abducting in order to murder or for ransom, etc."
281,Someone did a importation of girl or boy from foreign country. What law applies?,BNS,141,Importation of girl or boy from foreign country
282,Tell me about BNS Section 141 regarding importation of girl or boy from foreign country.,BNS,141,Importation of girl or boy from foreign country
283,"Someone did a wrongfully concealing or keeping in confinement, kidnapped or abducted person. What law applies?",BNS,142,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person."
284,"What is the punishment for wrongfully concealing or keeping in confinement, kidnapped or abducted person under the new BNS?",BNS,142,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person."
285,My friend was accused of trafficking of person. What are the consequences?,BNS,143,Trafficking of person.
286,What is the punishment for trafficking of person under the new BNS?,BNS,143,Trafficking of person.
287,What does BNS Section 144 say?,BNS,144,Exploitation of a trafficked person
288,What is the punishment for exploitation of a trafficked person under the new BNS?,BNS,144,Exploitation of a trafficked person
289,What does BNS Section 145 say?,BNS,145,Habitual dealing in slaves.
290,What is the section under BNS for habitual dealing in slaves?,BNS,145,Habitual dealing in slaves.
291,Can you explain the offence of unlawful compulsory labour in BNS 2023?,BNS,146,Unlawful compulsory labour.
292,I want to know the legal definition of unlawful compulsory labour.,BNS,146,Unlawful compulsory labour.
293,"What is the punishment for waging, or attempting to wage war, or abetting waging of war, against government of india under the new BNS?",BNS,147,"Waging, or attempting to wage war, or abetting waging of war, against Government of India."
294,"Someone did a waging, or attempting to wage war, or abetting waging of war, against government of india. What law applies?",BNS,147,"Waging, or attempting to wage war, or abetting waging of war, against Government of India."
295,Someone did a conspiracy to commit offences punishable by section 147. What law applies?,BNS,148,Conspiracy to commit offences punishable by section 147.
296,My friend was accused of conspiracy to commit offences punishable by section 147. What are the consequences?,BNS,148,Conspiracy to commit offences punishable by section 147.
297,"Someone did a collecting arms, etc., with intention of waging war against government of india. What law applies?",BNS,149,"Collecting arms, etc., with intention of waging war against Government of India."
298,"Tell me about BNS Section 149 regarding collecting arms, etc., with intention of waging war against government of india.",BNS,149,"Collecting arms, etc., with intention of waging war against Government of India."
299,What is the punishment for concealing with intent to facilitate design to wage war under the new BNS?,BNS,150,Concealing with intent to facilitate design to wage war.
300,My friend was accused of concealing with intent to facilitate design to wage war. What are the consequences?,BNS,150,Concealing with intent to facilitate design to wage war.
301,What does BNS Section 151 say?,BNS,151,"Assaulting President, Governor, etc., with intent to compel or restrain exercise of any lawful power."
302,"Tell me about BNS Section 151 regarding assaulting president, governor, etc., with intent to compel or restrain exercise of any lawful power.",BNS,151,"Assaulting President, Governor, etc., with intent to compel or restrain exercise of any lawful power."
303,"What is the section under BNS for act endangering sovereignty, unity and integrity of india?",BNS,152,"Act endangering sovereignty, unity and integrity of India."
304,"Tell me about BNS Section 152 regarding act endangering sovereignty, unity and integrity of india.",BNS,152,"Act endangering sovereignty, unity and integrity of India."
305,What is the punishment for waging war against government of any foreign state at peace with government of india under the new BNS?,BNS,153,Waging war against Government of any foreign State at peace with Government of India.
306,What is the section under BNS for waging war against government of any foreign state at peace with government of india?,BNS,153,Waging war against Government of any foreign State at peace with Government of India.
307,Tell me about BNS Section 154 regarding committing depredation on territories of foreign state at peace with government of india.,BNS,154,Committing depredation on territories of foreign State at peace with Government of India.
308,Can you explain the offence of committing depredation on territories of foreign state at peace with government of india in BNS 2023?,BNS,154,Committing depredation on territories of foreign State at peace with Government of India.
309,Tell me about BNS Section 155 regarding receiving property taken by war or depredation mentioned in sections 153 and 154.,BNS,155,Receiving property taken by war or depredation mentioned in sections 153 and 154.
310,Someone did a receiving property taken by war or depredation mentioned in sections 153 and 154. What law applies?,BNS,155,Receiving property taken by war or depredation mentioned in sections 153 and 154.
311,My friend was accused of public servant voluntarily allowing prisoner of state or war to escape. What are the consequences?,BNS,156,Public servant voluntarily allowing prisoner of State or war to escape.
312,Someone did a public servant voluntarily allowing prisoner of state or war to escape. What law applies?,BNS,156,Public servant voluntarily allowing prisoner of State or war to escape.
313,Tell me about BNS Section 157 regarding public servant negligently suffering such prisoner to escape.,BNS,157,Public servant negligently suffering such prisoner to escape.
314,What does BNS Section 157 say?,BNS,157,Public servant negligently suffering such prisoner to escape.
315,"Someone did a aiding escape of, rescuing or harbouring such prisoner. What law applies?",BNS,158,"Aiding escape of, rescuing or harbouring such prisoner."
316,"My friend was accused of aiding escape of, rescuing or harbouring such prisoner. What are the consequences?",BNS,158,"Aiding escape of, rescuing or harbouring such prisoner."
317,"What is the punishment for abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty under the new BNS?",BNS,159,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty."
318,"Someone did a abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty. What law applies?",BNS,159,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty."
319,What does BNS Section 160 say?,BNS,160,"Abetment of mutiny, if mutiny is committed in consequence thereof."
320,What does BNS Section 160 say?,BNS,160,"Abetment of mutiny, if mutiny is committed in consequence thereof."
321,"Can you explain the offence of abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office in BNS 2023?",BNS,161,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office."
322,"What is the section under BNS for abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office?",BNS,161,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office."
323,"I want to know the legal definition of abetment of such assault, if assault committed.",BNS,162,"Abetment of such assault, if assault committed"
324,"My friend was accused of abetment of such assault, if assault committed. What are the consequences?",BNS,162,"Abetment of such assault, if assault committed"
325,"Can you explain the offence of abetment of desertion of soldier, sailor or airman in BNS 2023?",BNS,163,"Abetment of desertion of soldier, sailor or airman."
326,"What is the section under BNS for abetment of desertion of soldier, sailor or airman?",BNS,163,"Abetment of desertion of soldier, sailor or airman."
327,My friend was accused of harbouring deserter. What are the consequences?,BNS,164,Harbouring deserter.
328,What is the section under BNS for harbouring deserter?,BNS,164,Harbouring deserter.
329,Someone did a deserter concealed on board merchant vessel through negligence of master. What law applies?,BNS,165,Deserter concealed on board merchant vessel through negligence of master.
330,What is the section under BNS for deserter concealed on board merchant vessel through negligence of master?,BNS,165,Deserter concealed on board merchant vessel through negligence of master.
331,"Someone did a abetment of act of insubordination by soldier, sailor or airman. What law applies?",BNS,166,"Abetment of act of insubordination by soldier, sailor or airman."
332,"Tell me about BNS Section 166 regarding abetment of act of insubordination by soldier, sailor or airman.",BNS,166,"Abetment of act of insubordination by soldier, sailor or airman."
333,What is the section under BNS for persons subject to certain acts?,BNS,167,Persons subject to certain Acts.
334,What does BNS Section 167 say?,BNS,167,Persons subject to certain Acts.
335,What does BNS Section 168 say?,BNS,168,"Wearing garb or carrying token used by soldier, sailor or airman."
336,"Can you explain the offence of wearing garb or carrying token used by soldier, sailor or airman in BNS 2023?",BNS,168,"Wearing garb or carrying token used by soldier, sailor or airman."
337,"Can you explain the offence of candidate, electoral right defined in BNS 2023?",BNS,169,"Candidate, electoral right defined."
338,"Can you explain the offence of candidate, electoral right defined in BNS 2023?",BNS,169,"Candidate, electoral right defined."
339,What does BNS Section 170 say?,BNS,170,Bribery.
340,Someone did a bribery. What law applies?,BNS,170,Bribery.
341,I want to know the legal definition of undue influence at elections.,BNS,171,Undue influence at elections.
342,What is the punishment for undue influence at elections under the new BNS?,BNS,171,Undue influence at elections.
343,I want to know the legal definition of personation at elections.,BNS,172,Personation at elections.
344,What does BNS Section 172 say?,BNS,172,Personation at elections.
345,What does BNS Section 173 say?,BNS,173,Punishment for bribery.
346,What does BNS Section 173 say?,BNS,173,Punishment for bribery.
347,What does BNS Section 174 say?,BNS,174,Punishment for undue influence or personation at an election.
348,Someone did a punishment for undue influence or personation at an election. What law applies?,BNS,174,Punishment for undue influence or personation at an election.
349,What is the section under BNS for false statement in connection with an election?,BNS,175,False statement in connection with an election.
350,Tell me about BNS Section 175 regarding false statement in connection with an election.,BNS,175,False statement in connection with an election.
351,Tell me about BNS Section 176 regarding illegal payments in connection with an election.,BNS,176,Illegal payments in connection with an election.
352,Tell me about BNS Section 176 regarding illegal payments in connection with an election.,BNS,176,Illegal payments in connection with an election.
353,Can you explain the offence of failure to keep election accounts in BNS 2023?,BNS,177,Failure to keep election accounts.
354,My friend was accused of failure to keep election accounts. What are the consequences?,BNS,177,Failure to keep election accounts.
355,"Can you explain the offence of counterfeiting coin, government stamps, currency-notes or bank-notes in BNS 2023?",BNS,178,"Counterfeiting coin, Government stamps, currency-notes or bank-notes."
356,"What is the section under BNS for counterfeiting coin, government stamps, currency-notes or bank-notes?",BNS,178,"Counterfeiting coin, Government stamps, currency-notes or bank-notes."
357,What does BNS Section 179 say?,BNS,179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes."
358,"I want to know the legal definition of using as genuine, forged or counterfeit coin, government stamp, currency-notes or bank-notes.",BNS,179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes."
359,"Someone did a possession of forged or counterfeit coin, government stamp, currency-notes or bank-notes. What law applies?",BNS,180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes."
360,"What is the punishment for possession of forged or counterfeit coin, government stamp, currency-notes or bank-notes under the new BNS?",BNS,180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes."
361,"What is the punishment for making or possessing instruments or materials for forging or counterfeiting coin, government stamp, currency-notes or bank-notes under the new BNS?",BNS,181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency-notes or bank-notes."
362,"What is the section under BNS for making or possessing instruments or materials for forging or counterfeiting coin, government stamp, currency-notes or bank-notes?",BNS,181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency-notes or bank-notes."
363,I want to know the legal definition of making or using documents resembling currency-notes or bank-notes.,BNS,182,Making or using documents resembling currency-notes or bank-notes.
364,Someone did a making or using documents resembling currency-notes or bank-notes. What law applies?,BNS,182,Making or using documents resembling currency-notes or bank-notes.
365,"My friend was accused of effacing writing from substance bearing government stamp, or removing from document a stamp used for it, with intent to cause loss to government. What are the consequences?",BNS,183,"Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government."
366,"What is the punishment for effacing writing from substance bearing government stamp, or removing from document a stamp used for it, with intent to cause loss to government under the new BNS?",BNS,183,"Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government."
367,My friend was accused of using government stamp known to have been before used. What are the consequences?,BNS,184,Using Government stamp known to have been before used.
368,My friend was accused of using government stamp known to have been before used. What are the consequences?,BNS,184,Using Government stamp known to have been before used.
369,What is the section under BNS for erasure of mark denoting that stamp has been used?,BNS,185,Erasure of mark denoting that stamp has been used.
370,Tell me about BNS Section 185 regarding erasure of mark denoting that stamp has been used.,BNS,185,Erasure of mark denoting that stamp has been used.
371,What does BNS Section 186 say?,BNS,186,Prohibition of fictitious stamps.
372,Someone did a prohibition of fictitious stamps. What law applies?,BNS,186,Prohibition of fictitious stamps.
373,Can you explain the offence of person employed in mint causing coin to be of different weight or composition from that fixed by law in BNS 2023?,BNS,187,Person employed in mint causing coin to be of different weight or composition from that fixed by law.
374,Can you explain the offence of person employed in mint causing coin to be of different weight or composition from that fixed by law in BNS 2023?,BNS,187,Person employed in mint causing coin to be of different weight or composition from that fixed by law.
375,Someone did a unlawfully taking coining instrument from mint. What law applies?,BNS,188,Unlawfully taking coining instrument from mint.
376,My friend was accused of unlawfully taking coining instrument from mint. What are the consequences?,BNS,188,Unlawfully taking coining instrument from mint.
377,What is the punishment for unlawful assembly under the new BNS?,BNS,189,Unlawful assembly
378,Can you explain the offence of unlawful assembly in BNS 2023?,BNS,189,Unlawful assembly
379,My friend was accused of every member of unlawful assembly guilty of offence committed in prosecution of common object. What are the consequences?,BNS,190,Every member of unlawful assembly guilty of offence committed in prosecution of common object.
380,My friend was accused of every member of unlawful assembly guilty of offence committed in prosecution of common object. What are the consequences?,BNS,190,Every member of unlawful assembly guilty of offence committed in prosecution of common object.
381,Can you explain the offence of rioting in BNS 2023?,BNS,191,Rioting.
382,Tell me about BNS Section 191 regarding rioting.,BNS,191,Rioting.
383,What does BNS Section 192 say?,BNS,192,Wantonly giving provocation with intent to cause riot-if rioting be committed; if not committed.
384,Can you explain the offence of wantonly giving provocation with intent to cause riot-if rioting be committed; if not committed in BNS 2023?,BNS,192,Wantonly giving provocation with intent to cause riot-if rioting be committed; if not committed.
385,"What is the punishment for liability of owner, occupier, etc., of land on which an unlawful assembly or riot takes place under the new BNS?",BNS,193,"Liability of owner, occupier, etc., of land on which an unlawful assembly or riot takes place."
386,What does BNS Section 193 say?,BNS,193,"Liability of owner, occupier, etc., of land on which an unlawful assembly or riot takes place."
387,I want to know the legal definition of affray.,BNS,194,Affray.
388,What is the section under BNS for affray?,BNS,194,Affray.
389,"What is the punishment for assaulting or obstructing public servant when suppressing riot, etc under the new BNS?",BNS,195,"Assaulting or obstructing public servant when suppressing riot, etc"
390,"My friend was accused of assaulting or obstructing public servant when suppressing riot, etc. What are the consequences?",BNS,195,"Assaulting or obstructing public servant when suppressing riot, etc"
391,"Can you explain the offence of promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony in BNS 2023?",BNS,196,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony"
392,"I want to know the legal definition of promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony.",BNS,196,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony"
393,"What is the punishment for imputations, assertions prejudicial to national integration under the new BNS?",BNS,197,"Imputations, assertions prejudicial to national integration."
394,"Tell me about BNS Section 197 regarding imputations, assertions prejudicial to national integration.",BNS,197,"Imputations, assertions prejudicial to national integration."
395,What does BNS Section 198 say?,BNS,198,"Public servant disobeying law, with intent to cause injury to any person."
396,"What is the section under BNS for public servant disobeying law, with intent to cause injury to any person?",BNS,198,"Public servant disobeying law, with intent to cause injury to any person."
397,Tell me about BNS Section 199 regarding public servant disobeying direction under law.,BNS,199,Public servant disobeying direction under law
398,What is the punishment for public servant disobeying direction under law under the new BNS?,BNS,199,Public servant disobeying direction under law
399,Someone did a punishment for non-treatment of victim. What law applies?,BNS,200,Punishment for non-treatment of victim
400,What does BNS Section 200 say?,BNS,200,Punishment for non-treatment of victim
401,Someone did a public servant framing an incorrect document with intent to cause injury. What law applies?,BNS,201,Public servant framing an incorrect document with intent to cause injury.
402,Someone did a public servant unlawfully engaging in trade. What law applies?,BNS,202,Public servant unlawfully engaging in trade.
403,What is the section under BNS for public servant unlawfully buying or bidding for property?,BNS,203,Public servant unlawfully buying or bidding for property.
404,My friend was accused of personating a public servant. What are the consequences?,BNS,204,Personating a public servant.
405,I want to know the legal definition of wearing garb or carrying token used by public servant with fraudulent intent.,BNS,205,Wearing garb or carrying token used by public servant with fraudulent intent.
406,What is the section under BNS for absconding to avoid service of summons or other proceeding?,BNS,206,Absconding to avoid service of summons or other proceeding.
407,What does BNS Section 207 say?,BNS,207,"Preventing service of summons or other proceeding, or preventing publication thereof."
408,Someone did a non-attendance in obedience to an order from public servant. What law applies?,BNS,208,Non-attendance in obedience to an order from public servant.
409,"Tell me about BNS Section 209 regarding non-appearance in response to a proclamation under section 84 of bharatiya nagarik suraksha sanhita, 2023.",BNS,209,"Non-appearance in response to a proclamation under section 84 of Bharatiya Nagarik Suraksha Sanhita, 2023."
410,Someone did a omission to produce document or electronic record to public servant by person legally bound to produce it. What law applies?,BNS,210,Omission to produce document or electronic record to public servant by person legally bound to produce it
411,I want to know the legal definition of omission to give notice or information to public servant by person legally bound to give it.,BNS,211,Omission to give notice or information to public servant by person legally bound to give it.
412,My friend was accused of furnishing false information. What are the consequences?,BNS,212,Furnishing false information.
413,Tell me about BNS Section 213 regarding refusing oath or affirmation when duly required by public servant to make it.,BNS,213,Refusing oath or affirmation when duly required by public servant to make it.
414,Someone did a refusing to answer public servant authorised to question. What law applies?,BNS,214,Refusing to answer public servant authorised to question.
415,I want to know the legal definition of refusing to sign statement.,BNS,215,Refusing to sign statement.
416,Can you explain the offence of false statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation in BNS 2023?,BNS,216,False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation.
417,"What is the punishment for false information, with intent to cause public servant to use his lawful power to injury of another person under the new BNS?",BNS,217,"False information, with intent to cause public servant to use his lawful power to injury of another person."
418,I want to know the legal definition of resistance to taking of property by lawful authority of a public servant.,BNS,218,Resistance to taking of property by lawful authority of a public servant.
419,Can you explain the offence of obstructing sale of property offered for sale by authority of public servant in BNS 2023?,BNS,219,Obstructing sale of property offered for sale by authority of public servant.
420,What is the section under BNS for illegal purchase or bid for property offered for sale by authority of public servant?,BNS,220,Illegal purchase or bid for property offered for sale by authority of public servant.
421,Someone did a obstructing public servant in discharge of public functions. What law applies?,BNS,221,Obstructing public servant in discharge of public functions.
422,What does BNS Section 222 say?,BNS,222,Omission to assist public servant when bound by law to give assistance.
423,I want to know the legal definition of disobedience to order duly promulgated by public servant.,BNS,223,Disobedience to order duly promulgated by public servant.
424,I want to know the legal definition of threat of injury to public servant.,BNS,224,Threat of injury to public servant.
425,What is the section under BNS for threat of injury to induce person to refrain from applying for protection to public servant?,BNS,225,Threat of injury to induce person to refrain from applying for protection to public servant.
426,Can you explain the offence of attempt to commit suicide to compel or restrain exercise of lawful power in BNS 2023?,BNS,226,Attempt to commit suicide to compel or restrain exercise of lawful power.
427,My friend was accused of giving false evidence. What are the consequences?,BNS,227,Giving false evidence.
428,My friend was accused of fabricating false evidence. What are the consequences?,BNS,228,Fabricating false evidence.
429,I want to know the legal definition of punishment for false evidence.,BNS,229,Punishment for false evidence.
430,What is the punishment for giving or fabricating false evidence with intent to procure conviction of capital offence under the new BNS?,BNS,230,Giving or fabricating false evidence with intent to procure conviction of capital offence.
431,Someone did a giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment. What law applies?,BNS,231,Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment.
432,What is the punishment for threatening any person to give false evidence under the new BNS?,BNS,232,Threatening any person to give false evidence
433,What is the punishment for using evidence known to be false under the new BNS?,BNS,233,Using evidence known to be false
434,Can you explain the offence of issuing or signing false certificate in BNS 2023?,BNS,234,Issuing or signing false certificate.
435,Can you explain the offence of using as true a certificate known to be false in BNS 2023?,BNS,235,Using as true a certificate known to be false.
436,What does BNS Section 236 say?,BNS,236,False statement made in declaration which is by law receivable as evidence
437,"What is the punishment for using as true
 such
 declaration
 knowing it to
 be false under the new BNS?",BNS,237,"Using as true
 such
 declaration
 knowing it to
 be false"
438,"My friend was accused of causing disappearance of evidence of offence, or giving false information to screen offender. What are the consequences?",BNS,238,"Causing disappearance of evidence of offence, or giving false information to screen offender."
439,What does BNS Section 239 say?,BNS,239,"Intentional
 omission to
 give
 information
 of offence by
 person bound to inform."
440,I want to know the legal definition of giving false information respecting an offence committed.,BNS,240,Giving false information respecting an offence committed.
441,What is the section under BNS for destruction of document or electronic record to prevent its production as evidence?,BNS,241,Destruction of document or electronic record to prevent its production as evidence
442,Can you explain the offence of false personation for purpose of act or proceeding in suit or prosecution in BNS 2023?,BNS,242,False personation for purpose of act or proceeding in suit or prosecution.
443,What is the section under BNS for fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution?,BNS,243,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution.
444,Can you explain the offence of fraudulent claim to property to prevent its seizure as forfeited or in execution in BNS 2023?,BNS,244,Fraudulent claim to property to prevent its seizure as forfeited or in execution.
445,Can you explain the offence of fraudulently suffering decree for sum not due in BNS 2023?,BNS,245,Fraudulently suffering decree for sum not due.
446,Can you explain the offence of dishonestly making false claim in court in BNS 2023?,BNS,246,Dishonestly making false claim in Court.
447,What does BNS Section 247 say?,BNS,247,Fraudulently obtaining decree for sum not due.
448,My friend was accused of false charge of offence made with intent to injure. What are the consequences?,BNS,248,False charge of offence made with intent to injure.
449,What does BNS Section 249 say?,BNS,249,Harbouring offender.
450,"I want to know the legal definition of taking gift, etc., to screen an offender from punishment.",BNS,250,"Taking gift, etc., to screen an offender from punishment."
451,I want to know the legal definition of offering gift or restoration of property in consideration of screening offender.,BNS,251,Offering gift or restoration of property in consideration of screening offender.
452,"Tell me about BNS Section 252 regarding taking gift to help to recover stolen property, etc.",BNS,252,"Taking gift to help to recover stolen property, etc."
453,I want to know the legal definition of harbouring offender who has escaped from custody or whose apprehension has been ordered.,BNS,253,Harbouring offender who has escaped from custody or whose apprehension has been ordered.
454,What is the section under BNS for penalty for harbouring robbers or dacoits?,BNS,254,Penalty for harbouring robbers or dacoits
455,What does BNS Section 255 say?,BNS,255,Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture.
456,Can you explain the offence of public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture in BNS 2023?,BNS,256,Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture.
457,"What is the section under BNS for public servant in judicial proceeding corruptly making report, etc., contrary to law?",BNS,257,"Public servant in judicial proceeding corruptly making report, etc., contrary to law."
458,What is the punishment for commitment for trial or confinement by person having authority who knows that he is acting contrary to law\ under the new BNS?,BNS,258,Commitment for trial or confinement by person having authority who knows that he is acting contrary to law\
459,My friend was accused of intentional omission to apprehend on part of public servant bound to apprehend. What are the consequences?,BNS,259,Intentional omission to apprehend on part of public servant bound to apprehend.
460,What is the punishment for intentional omission to apprehend on part of public servant bound to apprehend person under sentence or lawfully committed under the new BNS?,BNS,260,Intentional omission to apprehend on part of public servant bound to apprehend person under sentence or lawfully committed.
461,Can you explain the offence of escape from confinement or custody negligently suffered by public servant in BNS 2023?,BNS,261,Escape from confinement or custody negligently suffered by public servant.
462,I want to know the legal definition of resistance or obstruction by a person to his lawful apprehension.,BNS,262,Resistance or obstruction by a person to his lawful apprehension.
463,What is the punishment for resistance or obstruction to lawful apprehension of another person under the new BNS?,BNS,263,Resistance or obstruction to lawful apprehension of another person.
464,"Tell me about BNS Section 264 regarding omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise provided for.",BNS,264,"Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise provided for"
465,Someone did a resistance or obstruction to lawful apprehension or escape or rescue in cases not otherwise provided for. What law applies?,BNS,265,Resistance or obstruction to lawful apprehension or escape or rescue in cases not otherwise provided for.
466,My friend was accused of violation of condition of remission of punishment. What are the consequences?,BNS,266,Violation of condition of remission of punishment.
467,My friend was accused of intentional insult or interruption to public servant sitting in judicial proceeding. What are the consequences?,BNS,267,Intentional insult or interruption to public servant sitting in judicial proceeding.
468,I want to know the legal definition of personation of assessor.,BNS,268,Personation of assessor.
469,Can you explain the offence of failure by person released on bail bond or bond to appear in court in BNS 2023?,BNS,269,Failure by person released on bail bond or bond to appear in Court.
470,What does BNS Section 270 say?,BNS,270,Public nuisance.
471,What does BNS Section 271 say?,BNS,271,Negligent act likely to spread infection of disease dangerous to life.
472,Can you explain the offence of malignant act likely to spread infection of disease dangerous to life in BNS 2023?,BNS,272,Malignant act likely to spread infection of disease dangerous to life.
473,My friend was accused of disobedience to quarantine rule. What are the consequences?,BNS,273,Disobedience to quarantine rule.
474,I want to know the legal definition of adulteration of food or drink intended for sale.,BNS,274,Adulteration of food or drink intended for sale.
475,I want to know the legal definition of sale of noxious food or drink.,BNS,275,Sale of noxious food or drink.
476,What is the section under BNS for adulteration of drugs?,BNS,276,Adulteration of drugs.
477,Tell me about BNS Section 277 regarding sale of adulterated drugs.,BNS,277,Sale of adulterated drugs.
478,What is the section under BNS for sale of drug as a different drug or preparation?,BNS,278,Sale of drug as a different drug or preparation.
479,Tell me about BNS Section 279 regarding fouling water of public spring or reservoir.,BNS,279,Fouling water of public spring or reservoir.
480,What is the section under BNS for making atmosphere noxious to health?,BNS,280,Making atmosphere noxious to health.
481,My friend was accused of rash driving or riding on a public way. What are the consequences?,BNS,281,Rash driving or riding on a public way.
482,Can you explain the offence of rash navigation of vessel in BNS 2023?,BNS,282,Rash navigation of vessel.
483,"What is the section under BNS for exhibition of false light, mark or buoy?",BNS,283,"Exhibition of false light, mark or buoy."
484,What is the section under BNS for conveying person by water for hire in unsafe or overloaded vessel?,BNS,284,Conveying person by water for hire in unsafe or overloaded vessel.
485,Tell me about BNS Section 285 regarding danger or obstruction in public way or line of navigation.,BNS,285,Danger or obstruction in public way or line of navigation.
486,Tell me about BNS Section 286 regarding negligent conduct with respect to poisonous substance.,BNS,286,Negligent conduct with respect to poisonous substance.
487,Can you explain the offence of negligent conduct with respect to fire or combustible matter in BNS 2023?,BNS,287,Negligent conduct with respect to fire or combustible matter.
488,My friend was accused of negligent conduct with respect to explosive substance. What are the consequences?,BNS,288,Negligent conduct with respect to explosive substance.
489,My friend was accused of negligent conduct with respect to machinery. What are the consequences?,BNS,289,Negligent conduct with respect to machinery.
490,"Someone did a negligent conduct with respect to pulling down, repairing or constructing buildings, etc. What law applies?",BNS,290,"Negligent conduct with respect to pulling down, repairing or constructing buildings, etc."
491,What does BNS Section 291 say?,BNS,291,Negligent conduct with respect to animal.
492,What does BNS Section 292 say?,BNS,292,Punishment for public nuisance in cases not otherwise provided for.
493,My friend was accused of continuance of nuisance after injunction to discontinue. What are the consequences?,BNS,293,Continuance of nuisance after injunction to discontinue.
494,"Can you explain the offence of sale, etc., of obscene books, etc in BNS 2023?",BNS,294,"Sale, etc., of obscene books, etc."
