Testcase_ID,Pure_Natural_Language_Query,Target_Law,Target_Section,Section_Title
270,Can you explain the offence of assault or criminal force in attempt to wrongfully confine a person?,BNS,135,Assault or criminal force in attempt to wrongfully confine a person.
271,Is assault or criminal force on grave provocation considered a crime?,BNS,136,Assault or criminal force on grave provocation.
272,Can you explain the offence of assault or criminal force on grave provocation?,BNS,136,Assault or criminal force on grave provocation.
273,What happens if someone commits kidnapping?,BNS,137,Kidnapping.
274,My friend was accused of kidnapping. What are the consequences?,BNS,137,Kidnapping.
275,Is abduction considered a crime?,BNS,138,Abduction.
276,Can you explain the offence of abduction?,BNS,138,Abduction.
277,What is the legal definition of kidnapping or maiming a child for purposes of begging?,BNS,139,Kidnapping or maiming a child for purposes of begging.
278,Is kidnapping or maiming a child for purposes of begging considered a crime?,BNS,139,Kidnapping or maiming a child for purposes of begging.
279,What is the definition and punishment for murder?,BNS,140,"Kidnapping or abducting in order to murder or for ransom, etc."
280,A person killed someone intentionally. What is that crime?,BNS,140,"Kidnapping or abducting in order to murder or for ransom, etc."
281,What is the punishment for importation of girl or boy from foreign country?,BNS,141,Importation of girl or boy from foreign country
282,Can you explain the offence of importation of girl or boy from foreign country?,BNS,141,Importation of girl or boy from foreign country
283,"What is the legal definition of wrongfully concealing or keeping in confinement, kidnapped or abducted person?",BNS,142,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person."
284,"What is the legal definition of wrongfully concealing or keeping in confinement, kidnapped or abducted person?",BNS,142,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person."
285,Is trafficking of person considered a crime?,BNS,143,Trafficking of person.
286,Is trafficking of person considered a crime?,BNS,143,Trafficking of person.
287,My friend was accused of exploitation of a trafficked person. What are the consequences?,BNS,144,Exploitation of a trafficked person
288,Is exploitation of a trafficked person considered a crime?,BNS,144,Exploitation of a trafficked person
289,What is the punishment for habitual dealing in slaves?,BNS,145,Habitual dealing in slaves.
290,My friend was accused of habitual dealing in slaves. What are the consequences?,BNS,145,Habitual dealing in slaves.
291,Is unlawful compulsory labour considered a crime?,BNS,146,Unlawful compulsory labour.
292,What happens if someone commits unlawful compulsory labour?,BNS,146,Unlawful compulsory labour.
293,"My friend was accused of waging, or attempting to wage war, or abetting waging of war, against government of india. What are the consequences?",BNS,147,"Waging, or attempting to wage war, or abetting waging of war, against Government of India."
294,"Is waging, or attempting to wage war, or abetting waging of war, against government of india considered a crime?",BNS,147,"Waging, or attempting to wage war, or abetting waging of war, against Government of India."
295,What is the legal definition of conspiracy to commit offences punishable by section 147?,BNS,148,Conspiracy to commit offences punishable by section 147.
296,What is the legal definition of conspiracy to commit offences punishable by section 147?,BNS,148,Conspiracy to commit offences punishable by section 147.
297,"Can you explain the offence of collecting arms, etc., with intention of waging war against government of india?",BNS,149,"Collecting arms, etc., with intention of waging war against Government of India."
298,"What happens if someone commits collecting arms, etc., with intention of waging war against government of india?",BNS,149,"Collecting arms, etc., with intention of waging war against Government of India."
299,Is concealing with intent to facilitate design to wage war considered a crime?,BNS,150,Concealing with intent to facilitate design to wage war.
300,Can you explain the offence of concealing with intent to facilitate design to wage war?,BNS,150,Concealing with intent to facilitate design to wage war.
301,"My friend was accused of assaulting president, governor, etc., with intent to compel or restrain exercise of any lawful power. What are the consequences?",BNS,151,"Assaulting President, Governor, etc., with intent to compel or restrain exercise of any lawful power."
302,"What happens if someone commits assaulting president, governor, etc., with intent to compel or restrain exercise of any lawful power?",BNS,151,"Assaulting President, Governor, etc., with intent to compel or restrain exercise of any lawful power."
303,"What is the legal definition of act endangering sovereignty, unity and integrity of india?",BNS,152,"Act endangering sovereignty, unity and integrity of India."
304,"My friend was accused of act endangering sovereignty, unity and integrity of india. What are the consequences?",BNS,152,"Act endangering sovereignty, unity and integrity of India."
305,Can you explain the offence of waging war against government of any foreign state at peace with government of india?,BNS,153,Waging war against Government of any foreign State at peace with Government of India.
306,Is waging war against government of any foreign state at peace with government of india considered a crime?,BNS,153,Waging war against Government of any foreign State at peace with Government of India.
307,What is the punishment for committing depredation on territories of foreign state at peace with government of india?,BNS,154,Committing depredation on territories of foreign State at peace with Government of India.
308,Can you explain the offence of committing depredation on territories of foreign state at peace with government of india?,BNS,154,Committing depredation on territories of foreign State at peace with Government of India.
309,What happens if someone commits receiving property taken by war or depredation mentioned in sections 153 and 154?,BNS,155,Receiving property taken by war or depredation mentioned in sections 153 and 154.
310,What is the legal definition of receiving property taken by war or depredation mentioned in sections 153 and 154?,BNS,155,Receiving property taken by war or depredation mentioned in sections 153 and 154.
311,Is public servant voluntarily allowing prisoner of state or war to escape considered a crime?,BNS,156,Public servant voluntarily allowing prisoner of State or war to escape.
312,What is the punishment for public servant voluntarily allowing prisoner of state or war to escape?,BNS,156,Public servant voluntarily allowing prisoner of State or war to escape.
313,What is the legal definition of public servant negligently suffering such prisoner to escape?,BNS,157,Public servant negligently suffering such prisoner to escape.
314,Is public servant negligently suffering such prisoner to escape considered a crime?,BNS,157,Public servant negligently suffering such prisoner to escape.
315,"What happens if someone commits aiding escape of, rescuing or harbouring such prisoner?",BNS,158,"Aiding escape of, rescuing or harbouring such prisoner."
316,"What is the punishment for aiding escape of, rescuing or harbouring such prisoner?",BNS,158,"Aiding escape of, rescuing or harbouring such prisoner."
317,"What happens if someone commits abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty?",BNS,159,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty."
318,"What is the legal definition of abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty?",BNS,159,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty."
319,"Is abetment of mutiny, if mutiny is committed in consequence thereof considered a crime?",BNS,160,"Abetment of mutiny, if mutiny is committed in consequence thereof."
320,"Can you explain the offence of abetment of mutiny, if mutiny is committed in consequence thereof?",BNS,160,"Abetment of mutiny, if mutiny is committed in consequence thereof."
321,"What is the punishment for abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office?",BNS,161,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office."
322,"Is abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office considered a crime?",BNS,161,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office."
323,"What is the punishment for abetment of such assault, if assault committed?",BNS,162,"Abetment of such assault, if assault committed"
324,"My friend was accused of abetment of such assault, if assault committed. What are the consequences?",BNS,162,"Abetment of such assault, if assault committed"
325,"Can you explain the offence of abetment of desertion of soldier, sailor or airman?",BNS,163,"Abetment of desertion of soldier, sailor or airman."
326,"Can you explain the offence of abetment of desertion of soldier, sailor or airman?",BNS,163,"Abetment of desertion of soldier, sailor or airman."
327,My friend was accused of harbouring deserter. What are the consequences?,BNS,164,Harbouring deserter.
328,What is the legal definition of harbouring deserter?,BNS,164,Harbouring deserter.
329,Can you explain the offence of deserter concealed on board merchant vessel through negligence of master?,BNS,165,Deserter concealed on board merchant vessel through negligence of master.
330,My friend was accused of deserter concealed on board merchant vessel through negligence of master. What are the consequences?,BNS,165,Deserter concealed on board merchant vessel through negligence of master.
331,"Is abetment of act of insubordination by soldier, sailor or airman considered a crime?",BNS,166,"Abetment of act of insubordination by soldier, sailor or airman."
332,"What happens if someone commits abetment of act of insubordination by soldier, sailor or airman?",BNS,166,"Abetment of act of insubordination by soldier, sailor or airman."
333,What happens if someone commits persons subject to certain acts?,BNS,167,Persons subject to certain Acts.
334,Can you explain the offence of persons subject to certain acts?,BNS,167,Persons subject to certain Acts.
335,"My friend was accused of wearing garb or carrying token used by soldier, sailor or airman. What are the consequences?",BNS,168,"Wearing garb or carrying token used by soldier, sailor or airman."
336,"My friend was accused of wearing garb or carrying token used by soldier, sailor or airman. What are the consequences?",BNS,168,"Wearing garb or carrying token used by soldier, sailor or airman."
337,"What happens if someone commits candidate, electoral right defined?",BNS,169,"Candidate, electoral right defined."
338,"What is the punishment for candidate, electoral right defined?",BNS,169,"Candidate, electoral right defined."
339,What is the legal definition of bribery?,BNS,170,Bribery.
340,What happens if someone commits bribery?,BNS,170,Bribery.
341,What happens if someone commits undue influence at elections?,BNS,171,Undue influence at elections.
342,What is the punishment for undue influence at elections?,BNS,171,Undue influence at elections.
343,What happens if someone commits personation at elections?,BNS,172,Personation at elections.
344,What is the legal definition of personation at elections?,BNS,172,Personation at elections.
345,What is the legal definition of punishment for bribery?,BNS,173,Punishment for bribery.
346,What happens if someone commits punishment for bribery?,BNS,173,Punishment for bribery.
347,What is the punishment for punishment for undue influence or personation at an election?,BNS,174,Punishment for undue influence or personation at an election.
348,My friend was accused of punishment for undue influence or personation at an election. What are the consequences?,BNS,174,Punishment for undue influence or personation at an election.
349,My friend was accused of false statement in connection with an election. What are the consequences?,BNS,175,False statement in connection with an election.
350,Is false statement in connection with an election considered a crime?,BNS,175,False statement in connection with an election.
351,Is illegal payments in connection with an election considered a crime?,BNS,176,Illegal payments in connection with an election.
352,What is the punishment for illegal payments in connection with an election?,BNS,176,Illegal payments in connection with an election.
353,What happens if someone commits failure to keep election accounts?,BNS,177,Failure to keep election accounts.
354,What happens if someone commits failure to keep election accounts?,BNS,177,Failure to keep election accounts.
355,"What happens if someone commits counterfeiting coin, government stamps, currency-notes or bank-notes?",BNS,178,"Counterfeiting coin, Government stamps, currency-notes or bank-notes."
356,"My friend was accused of counterfeiting coin, government stamps, currency-notes or bank-notes. What are the consequences?",BNS,178,"Counterfeiting coin, Government stamps, currency-notes or bank-notes."
357,"Is using as genuine, forged or counterfeit coin, government stamp, currency-notes or bank-notes considered a crime?",BNS,179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes."
358,"My friend was accused of using as genuine, forged or counterfeit coin, government stamp, currency-notes or bank-notes. What are the consequences?",BNS,179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes."
359,"Can you explain the offence of possession of forged or counterfeit coin, government stamp, currency-notes or bank-notes?",BNS,180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes."
360,"Can you explain the offence of possession of forged or counterfeit coin, government stamp, currency-notes or bank-notes?",BNS,180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes."
361,"Can you explain the offence of making or possessing instruments or materials for forging or counterfeiting coin, government stamp, currency-notes or bank-notes?",BNS,181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency-notes or bank-notes."
362,"Is making or possessing instruments or materials for forging or counterfeiting coin, government stamp, currency-notes or bank-notes considered a crime?",BNS,181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency-notes or bank-notes."
363,My friend was accused of making or using documents resembling currency-notes or bank-notes. What are the consequences?,BNS,182,Making or using documents resembling currency-notes or bank-notes.
364,What is the legal definition of making or using documents resembling currency-notes or bank-notes?,BNS,182,Making or using documents resembling currency-notes or bank-notes.
365,"What is the punishment for effacing writing from substance bearing government stamp, or removing from document a stamp used for it, with intent to cause loss to government?",BNS,183,"Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government."
366,"What is the legal definition of effacing writing from substance bearing government stamp, or removing from document a stamp used for it, with intent to cause loss to government?",BNS,183,"Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government."
367,What is the legal definition of using government stamp known to have been before used?,BNS,184,Using Government stamp known to have been before used.
368,My friend was accused of using government stamp known to have been before used. What are the consequences?,BNS,184,Using Government stamp known to have been before used.
369,Is erasure of mark denoting that stamp has been used considered a crime?,BNS,185,Erasure of mark denoting that stamp has been used.
370,What is the legal definition of erasure of mark denoting that stamp has been used?,BNS,185,Erasure of mark denoting that stamp has been used.
371,What happens if someone commits prohibition of fictitious stamps?,BNS,186,Prohibition of fictitious stamps.
372,What is the legal definition of prohibition of fictitious stamps?,BNS,186,Prohibition of fictitious stamps.
373,My friend was accused of person employed in mint causing coin to be of different weight or composition from that fixed by law. What are the consequences?,BNS,187,Person employed in mint causing coin to be of different weight or composition from that fixed by law.
374,Can you explain the offence of person employed in mint causing coin to be of different weight or composition from that fixed by law?,BNS,187,Person employed in mint causing coin to be of different weight or composition from that fixed by law.
375,What is the legal definition of unlawfully taking coining instrument from mint?,BNS,188,Unlawfully taking coining instrument from mint.
376,What is the legal definition of unlawfully taking coining instrument from mint?,BNS,188,Unlawfully taking coining instrument from mint.
377,Can you explain the offence of unlawful assembly?,BNS,189,Unlawful assembly
378,Can you explain the offence of unlawful assembly?,BNS,189,Unlawful assembly
379,What happens if someone commits every member of unlawful assembly guilty of offence committed in prosecution of common object?,BNS,190,Every member of unlawful assembly guilty of offence committed in prosecution of common object.
380,What is the legal definition of every member of unlawful assembly guilty of offence committed in prosecution of common object?,BNS,190,Every member of unlawful assembly guilty of offence committed in prosecution of common object.
381,What happens if someone commits rioting?,BNS,191,Rioting.
382,My friend was accused of rioting. What are the consequences?,BNS,191,Rioting.
383,What is the legal definition of wantonly giving provocation with intent to cause riot-if rioting be committed; if not committed?,BNS,192,Wantonly giving provocation with intent to cause riot-if rioting be committed; if not committed.
384,What happens if someone commits wantonly giving provocation with intent to cause riot-if rioting be committed; if not committed?,BNS,192,Wantonly giving provocation with intent to cause riot-if rioting be committed; if not committed.
385,"Is liability of owner, occupier, etc., of land on which an unlawful assembly or riot takes place considered a crime?",BNS,193,"Liability of owner, occupier, etc., of land on which an unlawful assembly or riot takes place."
386,"What is the legal definition of liability of owner, occupier, etc., of land on which an unlawful assembly or riot takes place?",BNS,193,"Liability of owner, occupier, etc., of land on which an unlawful assembly or riot takes place."
387,My friend was accused of affray. What are the consequences?,BNS,194,Affray.
388,My friend was accused of affray. What are the consequences?,BNS,194,Affray.
389,"Is assaulting or obstructing public servant when suppressing riot, etc considered a crime?",BNS,195,"Assaulting or obstructing public servant when suppressing riot, etc"
390,"What happens if someone commits assaulting or obstructing public servant when suppressing riot, etc?",BNS,195,"Assaulting or obstructing public servant when suppressing riot, etc"
391,"What happens if someone commits promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony?",BNS,196,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony"
392,"What happens if someone commits promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony?",BNS,196,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony"
393,"What happens if someone commits imputations, assertions prejudicial to national integration?",BNS,197,"Imputations, assertions prejudicial to national integration."
394,"What is the punishment for imputations, assertions prejudicial to national integration?",BNS,197,"Imputations, assertions prejudicial to national integration."
395,"My friend was accused of public servant disobeying law, with intent to cause injury to any person. What are the consequences?",BNS,198,"Public servant disobeying law, with intent to cause injury to any person."
396,"My friend was accused of public servant disobeying law, with intent to cause injury to any person. What are the consequences?",BNS,198,"Public servant disobeying law, with intent to cause injury to any person."
397,What is the punishment for public servant disobeying direction under law?,BNS,199,Public servant disobeying direction under law
398,Can you explain the offence of public servant disobeying direction under law?,BNS,199,Public servant disobeying direction under law
399,Can you explain the offence of punishment for non-treatment of victim?,BNS,200,Punishment for non-treatment of victim
400,Can you explain the offence of punishment for non-treatment of victim?,BNS,200,Punishment for non-treatment of victim
401,What is the legal definition of public servant framing an incorrect document with intent to cause injury?,BNS,201,Public servant framing an incorrect document with intent to cause injury.
402,Can you explain the offence of public servant unlawfully engaging in trade?,BNS,202,Public servant unlawfully engaging in trade.
403,What happens if someone commits public servant unlawfully buying or bidding for property?,BNS,203,Public servant unlawfully buying or bidding for property.
404,My friend was accused of personating a public servant. What are the consequences?,BNS,204,Personating a public servant.
405,Can you explain the offence of wearing garb or carrying token used by public servant with fraudulent intent?,BNS,205,Wearing garb or carrying token used by public servant with fraudulent intent.
406,What happens if someone commits absconding to avoid service of summons or other proceeding?,BNS,206,Absconding to avoid service of summons or other proceeding.
407,"What is the legal definition of preventing service of summons or other proceeding, or preventing publication thereof?",BNS,207,"Preventing service of summons or other proceeding, or preventing publication thereof."
408,Is non-attendance in obedience to an order from public servant considered a crime?,BNS,208,Non-attendance in obedience to an order from public servant.
409,"What is the punishment for non-appearance in response to a proclamation under section 84 of bharatiya nagarik suraksha sanhita, 2023?",BNS,209,"Non-appearance in response to a proclamation under section 84 of Bharatiya Nagarik Suraksha Sanhita, 2023."
410,What happens if someone commits omission to produce document or electronic record to public servant by person legally bound to produce it?,BNS,210,Omission to produce document or electronic record to public servant by person legally bound to produce it
411,Is omission to give notice or information to public servant by person legally bound to give it considered a crime?,BNS,211,Omission to give notice or information to public servant by person legally bound to give it.
412,Is furnishing false information considered a crime?,BNS,212,Furnishing false information.
413,Can you explain the offence of refusing oath or affirmation when duly required by public servant to make it?,BNS,213,Refusing oath or affirmation when duly required by public servant to make it.
414,What is the legal definition of refusing to answer public servant authorised to question?,BNS,214,Refusing to answer public servant authorised to question.
415,What happens if someone commits refusing to sign statement?,BNS,215,Refusing to sign statement.
416,My friend was accused of false statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation. What are the consequences?,BNS,216,False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation.
417,"Is false information, with intent to cause public servant to use his lawful power to injury of another person considered a crime?",BNS,217,"False information, with intent to cause public servant to use his lawful power to injury of another person."
418,Can you explain the offence of resistance to taking of property by lawful authority of a public servant?,BNS,218,Resistance to taking of property by lawful authority of a public servant.
419,What is the punishment for obstructing sale of property offered for sale by authority of public servant?,BNS,219,Obstructing sale of property offered for sale by authority of public servant.
420,What is the legal definition of illegal purchase or bid for property offered for sale by authority of public servant?,BNS,220,Illegal purchase or bid for property offered for sale by authority of public servant.
421,What is the legal definition of obstructing public servant in discharge of public functions?,BNS,221,Obstructing public servant in discharge of public functions.
422,Can you explain the offence of omission to assist public servant when bound by law to give assistance?,BNS,222,Omission to assist public servant when bound by law to give assistance.
423,My friend was accused of disobedience to order duly promulgated by public servant. What are the consequences?,BNS,223,Disobedience to order duly promulgated by public servant.
424,My friend was accused of threat of injury to public servant. What are the consequences?,BNS,224,Threat of injury to public servant.
425,What is the punishment for threat of injury to induce person to refrain from applying for protection to public servant?,BNS,225,Threat of injury to induce person to refrain from applying for protection to public servant.
426,Is attempt to commit suicide to compel or restrain exercise of lawful power considered a crime?,BNS,226,Attempt to commit suicide to compel or restrain exercise of lawful power.
427,What is the punishment for giving false evidence?,BNS,227,Giving false evidence.
428,What is the legal definition of fabricating false evidence?,BNS,228,Fabricating false evidence.
429,Is punishment for false evidence considered a crime?,BNS,229,Punishment for false evidence.
430,Can you explain the offence of giving or fabricating false evidence with intent to procure conviction of capital offence?,BNS,230,Giving or fabricating false evidence with intent to procure conviction of capital offence.
431,My friend was accused of giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment. What are the consequences?,BNS,231,Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment.
432,What is the legal definition of threatening any person to give false evidence?,BNS,232,Threatening any person to give false evidence
433,What happens if someone commits using evidence known to be false?,BNS,233,Using evidence known to be false
434,Is issuing or signing false certificate considered a crime?,BNS,234,Issuing or signing false certificate.
435,My friend was accused of using as true a certificate known to be false. What are the consequences?,BNS,235,Using as true a certificate known to be false.
436,What happens if someone commits false statement made in declaration which is by law receivable as evidence?,BNS,236,False statement made in declaration which is by law receivable as evidence
437,"Is using as true
 such
 declaration
 knowing it to
 be false considered a crime?",BNS,237,"Using as true
 such
 declaration
 knowing it to
 be false"
438,"What is the legal definition of causing disappearance of evidence of offence, or giving false information to screen offender?",BNS,238,"Causing disappearance of evidence of offence, or giving false information to screen offender."
439,"Is intentional
 omission to
 give
 information
 of offence by
 person bound to inform considered a crime?",BNS,239,"Intentional
 omission to
 give
 information
 of offence by
 person bound to inform."
440,Can you explain the offence of giving false information respecting an offence committed?,BNS,240,Giving false information respecting an offence committed.
441,What is the punishment for destruction of document or electronic record to prevent its production as evidence?,BNS,241,Destruction of document or electronic record to prevent its production as evidence
442,My friend was accused of false personation for purpose of act or proceeding in suit or prosecution. What are the consequences?,BNS,242,False personation for purpose of act or proceeding in suit or prosecution.
443,What happens if someone commits fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution?,BNS,243,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution.
444,Can you explain the offence of fraudulent claim to property to prevent its seizure as forfeited or in execution?,BNS,244,Fraudulent claim to property to prevent its seizure as forfeited or in execution.
445,What is the legal definition of fraudulently suffering decree for sum not due?,BNS,245,Fraudulently suffering decree for sum not due.
446,Is dishonestly making false claim in court considered a crime?,BNS,246,Dishonestly making false claim in Court.
447,My friend was accused of fraudulently obtaining decree for sum not due. What are the consequences?,BNS,247,Fraudulently obtaining decree for sum not due.
448,Can you explain the offence of false charge of offence made with intent to injure?,BNS,248,False charge of offence made with intent to injure.
449,Can you explain the offence of harbouring offender?,BNS,249,Harbouring offender.
450,"What is the legal definition of taking gift, etc., to screen an offender from punishment?",BNS,250,"Taking gift, etc., to screen an offender from punishment."
451,My friend was accused of offering gift or restoration of property in consideration of screening offender. What are the consequences?,BNS,251,Offering gift or restoration of property in consideration of screening offender.
452,"What is the punishment for taking gift to help to recover stolen property, etc?",BNS,252,"Taking gift to help to recover stolen property, etc."
453,What is the punishment for harbouring offender who has escaped from custody or whose apprehension has been ordered?,BNS,253,Harbouring offender who has escaped from custody or whose apprehension has been ordered.
454,What is the legal definition of penalty for harbouring robbers or dacoits?,BNS,254,Penalty for harbouring robbers or dacoits
455,Can you explain the offence of public servant disobeying direction of law with intent to save person from punishment or property from forfeiture?,BNS,255,Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture.
456,What is the punishment for public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture?,BNS,256,Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture.
457,"Can you explain the offence of public servant in judicial proceeding corruptly making report, etc., contrary to law?",BNS,257,"Public servant in judicial proceeding corruptly making report, etc., contrary to law."
458,What is the legal definition of commitment for trial or confinement by person having authority who knows that he is acting contrary to law\?,BNS,258,Commitment for trial or confinement by person having authority who knows that he is acting contrary to law\
459,My friend was accused of intentional omission to apprehend on part of public servant bound to apprehend. What are the consequences?,BNS,259,Intentional omission to apprehend on part of public servant bound to apprehend.
460,Can you explain the offence of intentional omission to apprehend on part of public servant bound to apprehend person under sentence or lawfully committed?,BNS,260,Intentional omission to apprehend on part of public servant bound to apprehend person under sentence or lawfully committed.
461,Can you explain the offence of escape from confinement or custody negligently suffered by public servant?,BNS,261,Escape from confinement or custody negligently suffered by public servant.
462,What is the punishment for resistance or obstruction by a person to his lawful apprehension?,BNS,262,Resistance or obstruction by a person to his lawful apprehension.
463,What happens if someone commits resistance or obstruction to lawful apprehension of another person?,BNS,263,Resistance or obstruction to lawful apprehension of another person.
464,"What is the legal definition of omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise provided for?",BNS,264,"Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise provided for"
465,Can you explain the offence of resistance or obstruction to lawful apprehension or escape or rescue in cases not otherwise provided for?,BNS,265,Resistance or obstruction to lawful apprehension or escape or rescue in cases not otherwise provided for.
466,What happens if someone commits violation of condition of remission of punishment?,BNS,266,Violation of condition of remission of punishment.
467,Can you explain the offence of intentional insult or interruption to public servant sitting in judicial proceeding?,BNS,267,Intentional insult or interruption to public servant sitting in judicial proceeding.
468,What happens if someone commits personation of assessor?,BNS,268,Personation of assessor.
469,What happens if someone commits failure by person released on bail bond or bond to appear in court?,BNS,269,Failure by person released on bail bond or bond to appear in Court.
470,What happens if someone commits public nuisance?,BNS,270,Public nuisance.
471,Is negligent act likely to spread infection of disease dangerous to life considered a crime?,BNS,271,Negligent act likely to spread infection of disease dangerous to life.
472,Is malignant act likely to spread infection of disease dangerous to life considered a crime?,BNS,272,Malignant act likely to spread infection of disease dangerous to life.
473,What is the legal definition of disobedience to quarantine rule?,BNS,273,Disobedience to quarantine rule.
474,What happens if someone commits adulteration of food or drink intended for sale?,BNS,274,Adulteration of food or drink intended for sale.
475,What happens if someone commits sale of noxious food or drink?,BNS,275,Sale of noxious food or drink.
476,What is the punishment for adulteration of drugs?,BNS,276,Adulteration of drugs.
477,What is the legal definition of sale of adulterated drugs?,BNS,277,Sale of adulterated drugs.
478,What is the punishment for sale of drug as a different drug or preparation?,BNS,278,Sale of drug as a different drug or preparation.
479,What happens if someone commits fouling water of public spring or reservoir?,BNS,279,Fouling water of public spring or reservoir.
480,Can you explain the offence of making atmosphere noxious to health?,BNS,280,Making atmosphere noxious to health.
481,Is rash driving or riding on a public way considered a crime?,BNS,281,Rash driving or riding on a public way.
482,Is rash navigation of vessel considered a crime?,BNS,282,Rash navigation of vessel.
483,"What happens if someone commits exhibition of false light, mark or buoy?",BNS,283,"Exhibition of false light, mark or buoy."
484,What is the punishment for conveying person by water for hire in unsafe or overloaded vessel?,BNS,284,Conveying person by water for hire in unsafe or overloaded vessel.
485,Can you explain the offence of danger or obstruction in public way or line of navigation?,BNS,285,Danger or obstruction in public way or line of navigation.
486,Can you explain the offence of negligent conduct with respect to poisonous substance?,BNS,286,Negligent conduct with respect to poisonous substance.
487,Is negligent conduct with respect to fire or combustible matter considered a crime?,BNS,287,Negligent conduct with respect to fire or combustible matter.
488,What is the punishment for negligent conduct with respect to explosive substance?,BNS,288,Negligent conduct with respect to explosive substance.
489,Is negligent conduct with respect to machinery considered a crime?,BNS,289,Negligent conduct with respect to machinery.
490,"Can you explain the offence of negligent conduct with respect to pulling down, repairing or constructing buildings, etc?",BNS,290,"Negligent conduct with respect to pulling down, repairing or constructing buildings, etc."
491,What happens if someone commits negligent conduct with respect to animal?,BNS,291,Negligent conduct with respect to animal.
492,My friend was accused of punishment for public nuisance in cases not otherwise provided for. What are the consequences?,BNS,292,Punishment for public nuisance in cases not otherwise provided for.
493,What is the punishment for continuance of nuisance after injunction to discontinue?,BNS,293,Continuance of nuisance after injunction to discontinue.
494,"Is sale, etc., of obscene books, etc considered a crime?",BNS,294,"Sale, etc., of obscene books, etc."
495,"What is the punishment for sale, etc., of obscene objects to child?",BNS,295,"Sale, etc., of obscene objects to child."
496,Can you explain the offence of obscene acts and songs?,BNS,296,Obscene acts and songs.
497,Is keeping lottery office considered a crime?,BNS,297,Keeping lottery office.
498,Can you explain the offence of injuring or defiling place of worship with intent to insult religion of any class?,BNS,298,Injuring or defiling place of worship with intent to insult religion of any class.
499,"Is deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs considered a crime?",BNS,299,"Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs."
500,What is the legal definition of disturbing religious assembly?,BNS,300,Disturbing religious assembly.
501,Someone broke into my house at night. What trespass section applies?,BNS,301,"Trespassing on burial places, etc."
502,"What is the legal definition of uttering words, etc., with deliberate intent to wound religious feelings of any person?",BNS,302,"Uttering words, etc., with deliberate intent to wound religious feelings of any person."
503,A pickpocket took my wallet. Which section applies?,BNS,303,Theft
504,My friend was accused of snatching. What are the consequences?,BNS,304,Snatching
505,A pickpocket took my wallet. Which section applies?,BNS,305,"Theft in a dwelling house, or means of transportation or place of worship, etc."
506,What is the punishment for stealing a laptop?,BNS,306,Theft by clerk or servant of property in possession of master.
507,What is the punishment for stealing a laptop?,BNS,307,"Theft after preparation made for causing death, hurt or restraint in order to committing of theft."
508,What happens if someone commits extortion?,BNS,308,Extortion.
509,Is robbery considered a crime?,BNS,309,Robbery
510,What is the punishment for dacoity?,BNS,310,Dacoity
511,"What is the punishment for robbery, or dacoity, with attempt to cause death or grievous hurt?",BNS,311,"Robbery, or dacoity, with attempt to cause death or grievous hurt."
512,Can you explain the offence of attempt to commit robbery or dacoity when armed with deadly weapon?,BNS,312,Attempt to commit robbery or dacoity when armed with deadly weapon.
